"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Plain js tests","Actions Feature","","4","0","10","0","0"
"cucumber","The Google","myStory","4","0","2","0","0"
"cucumber","The Google","thirdstory","4","0","0","0","0"
"thirdtest2","The Google","myStory","4","0","0","0","0"
"thirdtest2","The Google","thirdstory","4","0","0","0","0"
"cucumber","The Google","firsttest4","0","0","1","0","0"
"firsttest2","The Google","myStory","0","0","1","0","0"
"firsttest2","The Google","firsttest4","0","0","1","0","0"
"cucumber","The Google","secondtest4","0","0","1","0","0"
"secondtest2","The Google","myStory","0","0","1","0","0"
"secondtest2","The Google","secondtest4","0","0","1","0","0"
